date;settlement_price;volume_thsd;instrument_slug;instrument_name;source;series_type;roll_rule;market_id;market_strip;last_trading_date;splice_last_seed_date
2000-04-20;202.0;4.8;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-25;199.25;4.0;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-26;197.75;8.4;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-27;200.0;7.81;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-28;203.0;8.51;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-02;208.25;9.75;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-03;207.75;8.35;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-04;205.75;12.44;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-05;202.0;7.84;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-08;205.75;10.19;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-09;213.0;12.68;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-10;218.0;18.41;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-11;226.0;21.78;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-12;227.0;4.94;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-15;224.0;3.72;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-16;224.75;5.66;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-17;223.25;4.04;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-18;229.5;5.63;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-19;229.0;8.58;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-22;221.75;4.83;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-23;219.75;4.06;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-24;225.5;3.95;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-25;228.5;5.68;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-26;230.0;3.49;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-30;228.5;4.88;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-05-31;225.25;6.55;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-01;225.5;8.37;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-02;228.5;6.41;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-05;223.25;11.54;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-06;227.75;9.6;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-07;223.25;11.34;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-08;228.5;11.35;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-09;226.75;18.09;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-12;234.0;14.39;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-13;237.0;10.13;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-14;236.25;5.69;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-15;231.5;5.74;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-16;227.25;8.13;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-06-19;221.25;5.08;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
